species;biomass;NumberAdults;TrapID;Exploratory;plot;PlotIDYear;month;year;Order;Suborder;Family;Genus;epitheton;subspecies;length;feeding_guild;LUI;replicate;Rep_ID
Scymnus frontalis;1.140901002;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Coccinellidae;Scymnus;frontalis;;2.5;c;1.31;A;AEG10-KEFJun2017A
Megophthalmus scanicus;1.655752159;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Megophthalmus;scanicus;;2.95;h;1.31;A;AEG10-KEFJun2017A
Aphthona atrovirens;0.345159298;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Aphthona;atrovirens;;1.55;h;1.31;A;AEG10-KEFJun2017A
Plagiognathus chrysanthemi;23.35330459;9;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;1.31;B;AEG10-KEFJun2017B
Mordellistena pumila;4.506674884;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Mordellidae;Mordellistena;pumila;;4.33;h;1.31;B;AEG10-KEFJun2017B
Aphthona atrovirens;0.345159298;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Aphthona;atrovirens;;1.55;h;1.31;B;AEG10-KEFJun2017B
Elymana sulphurella;10.06133211;2;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Elymana;sulphurella;;4.7;h;1.31;B;AEG10-KEFJun2017B
Turrutus socialis;13.45575776;6;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.31;B;AEG10-KEFJun2017B
Verdanus abdominalis;7.476403884;2;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Verdanus;abdominalis;;4.15;h;1.31;B;AEG10-KEFJun2017B
Cryptocephalus moraei;14.78468342;4;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Cryptocephalus;moraei;;4;h;1.31;B;AEG10-KEFJun2017B
Philaenus spumarius;18.7424768;2;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.31;B;AEG10-KEFJun2017B
Psammotettix helvolus;2.010424871;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.31;B;AEG10-KEFJun2017B
Hardya tenuis;2.242626293;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;1.31;B;AEG10-KEFJun2017B
Meligethes aeneus;0.737684157;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.31;B;AEG10-KEFJun2017B
Euscelis incisus;2.842688769;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;1.31;B;AEG10-KEFJun2017B
Xysticus bifasciatus;25.68805446;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Araneae;Labidognatha;Thomisidae;Xysticus;bifasciatus;;7.03;c;1.31;B;AEG10-KEFJun2017B
Phyllotreta tetrastigma;1.583313792;1;AEG10-KEFJun2017;ALB;AEG10;AEG10_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Phyllotreta;tetrastigma;;2.85;h;1.31;B;AEG10-KEFJun2017B
Chorthippus parallelus;321.1683679;2;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.31;A;AEG10-KEFAug2017A
Polymerus unifasciatus;41.89882346;5;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.31;A;AEG10-KEFAug2017A
Spilostethus saxatilis;32.90653897;1;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Heteroptera;Lygaeidae;Spilostethus;saxatilis;;10.5;h;1.31;A;AEG10-KEFAug2017A
Errastunus ocellaris;2.242626293;1;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.31;A;AEG10-KEFAug2017A
Turrutus socialis;6.727878879;3;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.31;A;AEG10-KEFAug2017A
Psammotettix helvolus;2.010424871;1;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.31;A;AEG10-KEFAug2017A
Trigonotylus caelestialium;8.379764693;1;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.31;A;AEG10-KEFAug2017A
Psammotettix helvolus;14.0729741;7;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.31;B;AEG10-KEFAug2017B
Macrosteles laevis;7.988385626;3;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.31;B;AEG10-KEFAug2017B
Polymerus unifasciatus;25.13929408;3;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.31;B;AEG10-KEFAug2017B
Turrutus socialis;8.970505171;4;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Turrutus;socialis;;3.35;h;1.31;B;AEG10-KEFAug2017B
Zyginidia scutellaris;1.524964859;1;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Zyginidia;scutellaris;;2.85;h;1.31;B;AEG10-KEFAug2017B
Sciocoris microphthalmus;7.093828131;1;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Heteroptera;Pentatomidae;Sciocoris;microphthalmus;;5.5;h;1.31;B;AEG10-KEFAug2017B
Spilostethus saxatilis;65.81307795;2;AEG10-KEFAug2017;ALB;AEG10;AEG10_2017;Aug;2017;Hemiptera;Heteroptera;Lygaeidae;Spilostethus;saxatilis;;10.5;h;1.31;B;AEG10-KEFAug2017B
Arthaldeus pascuellus;17.42787329;7;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;2.31;A;AEG11-KEFAug2017A
Polymerus unifasciatus;41.89882347;5;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;2.31;A;AEG11-KEFAug2017A
Longitarsus pratensis;1.121050899;3;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;2.31;A;AEG11-KEFAug2017A
Notostira erratica;30.56332856;2;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;2.31;A;AEG11-KEFAug2017A
Macrosteles cristatus;11.7408245;4;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;2.31;A;AEG11-KEFAug2017A
Macrosteles laevis;5.325590417;2;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;2.31;A;AEG11-KEFAug2017A
Chorthippus parallelus;642.336736;4;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;2.31;A;AEG11-KEFAug2017A
Aphrophora alni;15.3425015;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Aphrophora;alni;;7.5;h;2.31;A;AEG11-KEFAug2017A
Longitarsus melanocephalus;1.140901003;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;2.31;A;AEG11-KEFAug2017A
Aphrophora alni;15.3425015;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Aphrophora;alni;;7.5;h;2.31;B;AEG11-KEFAug2017B
Chorthippus parallelus;481.752552;3;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;2.31;B;AEG11-KEFAug2017B
Longitarsus pratensis;0.747367266;2;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;2.31;B;AEG11-KEFAug2017B
Arthaldeus pascuellus;9.958784738;4;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;2.31;B;AEG11-KEFAug2017B
Macrosteles laevis;10.65118083;4;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;2.31;B;AEG11-KEFAug2017B
Macrosteles cristatus;11.7408245;4;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;2.31;B;AEG11-KEFAug2017B
Polymerus unifasciatus;41.89882347;5;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;2.31;B;AEG11-KEFAug2017B
Nabis rugosus;12.15035291;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Heteroptera;Nabidae;Nabis;rugosus;;6.9;c;2.31;B;AEG11-KEFAug2017B
Longitarsus melanocephalus;1.140901003;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;2.31;B;AEG11-KEFAug2017B
Notostira erratica;15.28166428;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;2.31;B;AEG11-KEFAug2017B
Philaenus spumarius;9.371238401;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;2.31;B;AEG11-KEFAug2017B
Deltocephalus pulicaris;1.400386152;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;2.31;B;AEG11-KEFAug2017B
Dolycoris baccarum;36.74724982;1;AEG11-KEFAug2017;ALB;AEG11;AEG11_2017;Aug;2017;Hemiptera;Heteroptera;Pentatomidae;Dolycoris;baccarum;;11;h;2.31;B;AEG11-KEFAug2017B
Laodelphax striatellus;10.81793244;5;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;2.31;A;AEG11-KEFJun2017A
Muellerianella extrusa;1.936283664;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Muellerianella;extrusa;;3.15;h;2.31;A;AEG11-KEFJun2017A
Chorthippus parallelus;1124.089287;7;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;2.31;A;AEG11-KEFJun2017A
Polymerus unifasciatus;8.379764693;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;2.31;A;AEG11-KEFJun2017A
Phyllotreta tetrastigma;3.166627584;2;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Phyllotreta;tetrastigma;;2.85;h;2.31;A;AEG11-KEFJun2017A
Longitarsus succineus;0.612881572;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;succineus;;1.95;h;2.31;A;AEG11-KEFJun2017A
Deltocephalus pulicaris;2.800772304;2;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;2.31;A;AEG11-KEFJun2017A
Cicadula persimilis;4.779034728;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Cicadula;persimilis;;4.6;h;2.31;A;AEG11-KEFJun2017A
Euscelis incisus;8.528066303;3;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;2.31;A;AEG11-KEFJun2017A
Macrosteles cristatus;2.935206124;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;2.31;A;AEG11-KEFJun2017A
Acanthodelphax spinosus;0.655024538;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Acanthodelphax;spinosus;;2;h;2.31;A;AEG11-KEFJun2017A
Ribautodelphax collinus;1.863755772;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Ribautodelphax;collinus;;3.1;h;2.31;A;AEG11-KEFJun2017A
Phyllotreta tetrastigma;3.166627584;2;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Phyllotreta;tetrastigma;;2.85;h;2.31;B;AEG11-KEFJun2017B
Chorthippus parallelus;642.3367356;4;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;2.31;B;AEG11-KEFJun2017B
Laodelphax striatellus;4.327172977;2;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;2.31;B;AEG11-KEFJun2017B
Euscelis incisus;2.842688768;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;2.31;B;AEG11-KEFJun2017B
Arthaldeus pascuellus;7.469088555;3;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;2.31;B;AEG11-KEFJun2017B
Notostira erratica;45.84499284;3;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;2.31;B;AEG11-KEFJun2017B
Philaenus spumarius;18.7424768;2;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;2.31;B;AEG11-KEFJun2017B
Polymerus nigrita;4.177468668;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Heteroptera;Miridae;Polymerus;nigrita;;4.4;h;2.31;B;AEG11-KEFJun2017B
Macrosteles laevis;2.662795209;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;2.31;B;AEG11-KEFJun2017B
Muellerianella extrusa;1.936283664;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Muellerianella;extrusa;;3.15;h;2.31;B;AEG11-KEFJun2017B
Hyledelphax elegantulus;1.723500103;1;AEG11-KEFJun2017;ALB;AEG11;AEG11_2017;Jun;2017;Hemiptera;Fulgoromorpha;Delphacidae;Hyledelphax;elegantulus;;3;h;2.31;B;AEG11-KEFJun2017B
Macrosteles laevis;42.60472334;16;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.95;A;AEG12-KEFAug2017A
Longitarsus pratensis;0.747367266;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;1.95;A;AEG12-KEFAug2017A
Chorthippus parallelus;642.3367358;4;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.95;A;AEG12-KEFAug2017A
Trigonotylus caelestialium;33.51905877;4;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.95;A;AEG12-KEFAug2017A
Laodelphax striatellus;8.654345953;4;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;1.95;A;AEG12-KEFAug2017A
Polymerus unifasciatus;25.13929408;3;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.95;A;AEG12-KEFAug2017A
Longitarsus melanocephalus;2.281802005;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;1.95;A;AEG12-KEFAug2017A
Zyginidia scutellaris;1.524964859;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Zyginidia;scutellaris;;2.85;h;1.95;A;AEG12-KEFAug2017A
Lygus rugulipennis;6.209776;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Lygus;rugulipennis;;5.2;o;1.95;A;AEG12-KEFAug2017A
Sitona sulcifrons;5.293515325;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;1.95;A;AEG12-KEFAug2017A
Sitona lepidus;7.296564364;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Curculionidae;Sitona;lepidus;;5.25;h;1.95;A;AEG12-KEFAug2017A
Chaetocnema concinna;0.737684157;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Chaetocnema;concinna;;2.1;h;1.95;A;AEG12-KEFAug2017A
Chaetocnema hortensis;0.574331658;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Chaetocnema;hortensis;;1.9;h;1.95;A;AEG12-KEFAug2017A
Chorthippus biguttulus;160.5841839;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;biguttulus;;18;h;1.95;A;AEG12-KEFAug2017A
Longitarsus pratensis;0.747367266;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;1.95;B;AEG12-KEFAug2017B
Macrosteles laevis;21.30236167;8;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.95;B;AEG12-KEFAug2017B
Trigonotylus caelestialium;8.379764692;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.95;B;AEG12-KEFAug2017B
Lygus rugulipennis;6.209776;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Heteroptera;Miridae;Lygus;rugulipennis;;5.2;o;1.95;B;AEG12-KEFAug2017B
Chorthippus biguttulus;321.1683679;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;biguttulus;;18;h;1.95;B;AEG12-KEFAug2017B
Longitarsus luridus;1.61182448;3;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;1.95;B;AEG12-KEFAug2017B
Laodelphax striatellus;4.327172977;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;1.95;B;AEG12-KEFAug2017B
Chorthippus parallelus;160.5841839;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.95;B;AEG12-KEFAug2017B
Dolycoris baccarum;36.74724982;1;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Hemiptera;Heteroptera;Pentatomidae;Dolycoris;baccarum;;11;h;1.95;B;AEG12-KEFAug2017B
Sitona sulcifrons;5.293515325;2;AEG12-KEFAug2017;ALB;AEG12;AEG12_2017;Aug;2017;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;1.95;B;AEG12-KEFAug2017B
Dicymbium nigrum brevisetosum;1.551582044;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Dicymbium;nigrum;brevisetosum;2.25;c;1.95;A;AEG12-KEFJun2017A
Deltocephalus pulicaris;1.400386152;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.95;A;AEG12-KEFJun2017A
Bruchus loti;0.737684157;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Coleoptera;Polyphaga;Bruchidae;Bruchus;loti;;2.1;h;1.95;A;AEG12-KEFJun2017A
Arthaldeus pascuellus;4.979392369;2;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.95;A;AEG12-KEFJun2017A
Erigone atra;1.551582044;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Erigone;atra;;2.25;c;1.95;A;AEG12-KEFJun2017A
Tetragnatha montana;53.20165799;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Araneae;Labidognatha;Tetragnathidae;Tetragnatha;montana;;8.5;c;1.95;B;AEG12-KEFJun2017B
Neocrepidodera ferruginea;2.198974969;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Neocrepidodera;ferruginea;;3.25;h;1.95;B;AEG12-KEFJun2017B
Longitarsus melanocephalus;1.140901002;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;melanocephalus;;2.5;h;1.95;B;AEG12-KEFJun2017B
Philaenus spumarius;28.1137152;3;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.95;B;AEG12-KEFJun2017B
Arthaldeus pascuellus;12.44848092;5;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.95;B;AEG12-KEFJun2017B
Anoscopus serratulae;6.250853151;2;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Anoscopus;serratulae;;3.85;h;1.95;B;AEG12-KEFJun2017B
Erigone atra;1.551582044;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Erigone;atra;;2.25;c;1.95;B;AEG12-KEFJun2017B
Meioneta rurestris;22.4358303;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Araneae;Labidognatha;Linyphiidae;Meioneta;rurestris;;6.23;c;1.95;B;AEG12-KEFJun2017B
Longitarsus pratensis;0.373683633;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;1.95;B;AEG12-KEFJun2017B
Deltocephalus pulicaris;4.201158456;3;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.95;B;AEG12-KEFJun2017B
Pachygnatha degeeri;5.067163932;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Araneae;Labidognatha;Tetragnathidae;Pachygnatha;degeeri;;3.55;c;1.95;B;AEG12-KEFJun2017B
Megophthalmus scanicus;1.655752159;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Megophthalmus;scanicus;;2.95;h;1.95;B;AEG12-KEFJun2017B
Psammotettix helvolus;2.010424871;1;AEG12-KEFJun2017;ALB;AEG12;AEG12_2017;Jun;2017;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;helvolus;;3.2;h;1.95;B;AEG12-KEFJun2017B
