species;biomass;count;year;plot;month;sampling;epitheton;genus;tribus;subfamily;family;order;class;length;feeding_guild;TrapID;replicate;Rep_ID
Macrosteles laevis;5.685377536;2;2010;B1A06;May;2010 main suction Jun 1 A;laevis;Macrosteles;NA;;Cicadellidae;Hemiptera;Insecta;3.7;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Platygastridae;0.488093746;1;2010;B1A06;May;2010 main suction Jun 1 A;;;NA;;Platygastridae;Hymenoptera;Insecta;2.45;predator;2010_B1A06_May;B;2010_B1A06_MayB
Mymaridae;0.018441609;3;2010;B1A06;May;2010 main suction Jun 1 B;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2010_B1A06_May;B;2010_B1A06_MayB
Ceraphronidae;0.483233523;2;2010;B1A06;May;2010 main suction Jun 1 A;;;NA;;Ceraphronidae;Hymenoptera;Insecta;2.05;predator;2010_B1A06_May;B;2010_B1A06_MayB
Bruchus luteicornis;0.782399543;1;2010;B1A06;May;2010 main suction Jun 1 B;luteicornis;Bruchus;NA;;Chrysomelidae;Coleoptera;Insecta;2.15;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Eulophidae;0.096776809;1;2010;B1A06;May;2010 main suction Jun 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B1A06_May;B;2010_B1A06_MayB
Longitarsus noricus;2.236421452;2;2010;B1A06;May;2010 main suction Jun 1 A;noricus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.48;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Meligethes nigrescens;0.737684157;1;2010;B1A06;May;2010 main suction Jun 1 B;nigrescens;Meligethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Sitona sulcifrons;2.646757662;1;2010;B1A06;May;2010 main suction Jun 1 B;sulcifrons;Sitona;NA;;Curculionidae;Coleoptera;Insecta;3.5;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Protapion nigritarse;0.467560872;1;2010;B1A06;May;2010 main suction Jun 1 B;nigritarse;Protapion;NA;;Apionidae;Coleoptera;Insecta;1.75;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Diapriidae;1.530433547;1;2010;B1A06;May;2010 main suction Jun 1 A;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B1A06_May;B;2010_B1A06_MayB
Neottiura bimaculata;1.97084488;1;2010;B1A06;May;2010 main suction Jun 1 A;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B1A06_May;B;2010_B1A06_MayB
Protapion trifolii;0.574331658;1;2010;B1A06;May;2010 main suction Jun 1 A;trifolii;Protapion;NA;;Apionidae;Coleoptera;Insecta;1.9;herbivore;2010_B1A06_May;B;2010_B1A06_MayB
Eupelmidae;1.7117239;1;2010;B1A06;May;2010 main suction Jun 1 A;;;NA;;Eupelmidae;Hymenoptera;Insecta;4;predator;2010_B1A06_May;B;2010_B1A06_MayB
Ichneumoninae;51.71052138;2;2010;B1A07;May;2010 main suction Jun 1 A;;;NA;Ichneumoninae;Ichneumonidae;Hymenoptera;Insecta;12.5;predator;2010_B1A07_May;A;2010_B1A07_MayA
Alysiinae;1.810951428;2;2010;B1A07;May;2010 main suction Jun 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B1A07_May;A;2010_B1A07_MayA
Pteromalidae;16.55328519;1;2010;B1A07;May;2010 main suction Jun 1 A;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B1A07_May;A;2010_B1A07_MayA
Braconinae;5.087975514;1;2010;B1A07;May;2010 main suction Jun 1 B;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2010_B1A07_May;A;2010_B1A07_MayA
Eupteryx notata;1.045868373;1;2010;B1A07;May;2010 main suction Jun 1 A;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B1A07_May;A;2010_B1A07_MayA
Cryptinae;51.23073624;3;2010;B1A07;May;2010 main suction Jun 1 A;;;NA;Cryptinae;Ichneumonidae;Hymenoptera;Insecta;10.5;predator;2010_B1A07_May;B;2010_B1A07_MayB
Eulophidae;0.096776809;1;2010;B1A07;May;2010 main suction Jun 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B1A07_May;B;2010_B1A07_MayB
Alysiinae;0.905475714;1;2010;B1A07;May;2010 main suction Jun 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B1A07_May;B;2010_B1A07_MayB
Neottiura bimaculata;1.97084488;1;2010;B1A07;May;2010 main suction Jun 1 B;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B1A07_May;B;2010_B1A07_MayB
Braconinae;5.087975514;1;2010;B1A22;May;2010 main suction Jun 1 A;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2010_B1A22_May;A;2010_B1A22_MayA
Opiinae;1.686224811;2;2010;B1A22;May;2010 main suction Jun 1 B;;;NA;Opiinae;Braconidae;Hymenoptera;Insecta;2.875;predator;2010_B1A22_May;A;2010_B1A22_MayA
Tenthredininae;30.76678033;1;2010;B1A22;May;2010 main suction Jun 1 B;;;NA;Tenthredininae;Tenthredinidae;Hymenoptera;Insecta;9;herbivore;2010_B1A22_May;A;2010_B1A22_MayA
Eulophidae;0.096776809;1;2010;B1A22;May;2010 main suction Jun 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B1A22_May;A;2010_B1A22_MayA
Stenodema laevigata;19.37825854;1;2010;B1A22;May;2010 main suction Jun 1 A;laevigata;Stenodema;NA;;Miridae;Hemiptera;Insecta;8.4;herbivore;2010_B1A22_May;A;2010_B1A22_MayA
Oedemera virescens;32.15783013;1;2010;B1A22;May;2010 main suction Jun 1 B;virescens;Oedemera;NA;;Oedemeridae;Coleoptera;Insecta;9.5;herbivore;2010_B1A22_May;A;2010_B1A22_MayA
Euscelis incisus;3.109309509;1;2010;B1A22;May;2010 main suction Jun 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B1A22_May;A;2010_B1A22_MayA
Sitona lineatus;3.696170856;1;2010;B1A22;May;2010 main suction Jun 1 B;lineatus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2010_B1A22_May;A;2010_B1A22_MayA
Eupteryx atropunctata;3.029449111;1;2010;B1A22;May;2010 main suction Jun 1 A;atropunctata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.8;herbivore;2010_B1A22_May;B;2010_B1A22_MayB
Eupteryx vittata;4.020849742;2;2010;B1A22;May;2010 main suction Jun 1 B;vittata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B1A22_May;B;2010_B1A22_MayB
Neottiura bimaculata;1.97084488;1;2010;B1A22;May;2010 main suction Jun 1 A;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B1A22_May;B;2010_B1A22_MayB
Scelionidae;1.416894724;1;2010;B1A22;May;2010 main suction Jun 1 A;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B1A22_May;B;2010_B1A22_MayB
Emelyanoviana mollicula;2.010424871;1;2010;B1A22;May;2010 main suction Jun 1 A;mollicula;Emelyanoviana;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B1A22_May;B;2010_B1A22_MayB
Tychius pusillus;0.522865727;1;2010;B1A22;May;2010 main suction Jun 1 B;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2010_B1A22_May;B;2010_B1A22_MayB
Genistogethes carinulatus;0.50169126;1;2010;B1A22;May;2010 main suction Jun 1 A;carinulatus;Genistogethes;NA;;Nitidulidae;Coleoptera;Insecta;1.8;herbivore;2010_B1A22_May;B;2010_B1A22_MayB
Protapion apricans;1.198828313;1;2010;B1A22;May;2010 main suction Jun 1 A;apricans;Protapion;NA;;Apionidae;Coleoptera;Insecta;2.55;herbivore;2010_B1A22_May;B;2010_B1A22_MayB
Pteromalidae;16.55328519;1;2010;B1A22;May;2010 main suction Jun 1 A;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B1A22_May;B;2010_B1A22_MayB
Eupteryx vittata;52.27104664;26;2010;B3A16;May;2010 main suction Jun 1 B;vittata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B3A16_May;A;2010_B3A16_MayA
Cantharis lateralis;16.35706406;1;2010;B3A16;May;2010 main suction Jun 1 B;lateralis;Cantharis;NA;;Cantharidae;Coleoptera;Insecta;7.25;predator;2010_B3A16_May;A;2010_B3A16_MayA
Eupteryx notata;2.091736747;2;2010;B3A16;May;2010 main suction Jun 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B3A16_May;A;2010_B3A16_MayA
Eupteryx atropunctata;3.029449111;1;2010;B3A16;May;2010 main suction Jun 1 B;atropunctata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.8;herbivore;2010_B3A16_May;A;2010_B3A16_MayA
Zyginidia scutellaris;3.244937396;2;2010;B3A16;May;2010 main suction Jun 1 A;scutellaris;Zyginidia;NA;;Cicadellidae;Hemiptera;Insecta;2.925;herbivore;2010_B3A16_May;A;2010_B3A16_MayA
Platygastridae;0.976187491;2;2010;B3A16;May;2010 main suction Jun 1 B;;;NA;;Platygastridae;Hymenoptera;Insecta;2.45;predator;2010_B3A16_May;A;2010_B3A16_MayA
Pteromalidae;16.55328519;1;2010;B3A16;May;2010 main suction Jun 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B3A16_May;A;2010_B3A16_MayA
Neophilaenus campestris;6.650564598;1;2010;B3A16;May;2010 main suction Jun 1 A;campestris;Neophilaenus;NA;;Aphrophoridae;Hemiptera;Insecta;5.283333333;herbivore;2010_B3A16_May;A;2010_B3A16_MayA
Eupteryx vittata;40.20849742;20;2010;B3A16;May;2010 main suction Jun 1 A;vittata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B3A16_May;B;2010_B3A16_MayB
Platygastridae;0.488093746;1;2010;B3A16;May;2010 main suction Jun 1 B;;;NA;;Platygastridae;Hymenoptera;Insecta;2.45;predator;2010_B3A16_May;B;2010_B3A16_MayB
Pteromalidae;33.10657039;2;2010;B3A16;May;2010 main suction Jun 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B3A16_May;B;2010_B3A16_MayB
Zyginidia scutellaris;1.622468698;1;2010;B3A16;May;2010 main suction Jun 1 A;scutellaris;Zyginidia;NA;;Cicadellidae;Hemiptera;Insecta;2.925;herbivore;2010_B3A16_May;B;2010_B3A16_MayB
Neottiura bimaculata;1.97084488;1;2010;B3A16;May;2010 main suction Jun 1 A;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B3A16_May;B;2010_B3A16_MayB
Eupteryx notata;1.045868373;1;2010;B3A16;May;2010 main suction Jun 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B3A16_May;B;2010_B3A16_MayB
Diapriidae;1.530433547;1;2010;B3A16;May;2010 main suction Jun 1 B;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B3A16_May;B;2010_B3A16_MayB
Emelyanoviana mollicula;2.010424871;1;2010;B3A16;May;2010 main suction Jun 1 A;mollicula;Emelyanoviana;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B3A16_May;B;2010_B3A16_MayB
Ichneumoninae;25.85526069;1;2010;B3A16;May;2010 main suction Jun 1 B;;;NA;Ichneumoninae;Ichneumonidae;Hymenoptera;Insecta;12.5;predator;2010_B3A16_May;B;2010_B3A16_MayB
Longitarsus melanocephalus;1.234414131;1;2010;B3A16;May;2010 main suction Jun 1 A;melanocephalus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.58;herbivore;2010_B3A16_May;B;2010_B3A16_MayB
Alysiinae;0.905475714;1;2010;B3A19;May;2010 main suction Jun 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B3A19_May;A;2010_B3A19_MayA
Synageles venator;5.326200463;1;2010;B3A19;May;2010 main suction Jun 1 A;venator;Synageles;NA;;Salticidae;Araneae;Arachnida;3.5;predator;2010_B3A19_May;A;2010_B3A19_MayA
Eupteryx notata;2.091736747;2;2010;B3A19;May;2010 main suction Jun 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B3A19_May;A;2010_B3A19_MayA
Euscelis incisus;3.109309509;1;2010;B3A19;May;2010 main suction Jun 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B3A19_May;A;2010_B3A19_MayA
Eucoilidae;0.833235715;1;2010;B3A19;May;2010 main suction Jun 1 A;;;NA;;Eucoilidae;Hymenoptera;Insecta;2.925;predator;2010_B3A19_May;A;2010_B3A19_MayA
Mocydia croceus;5.624465748;1;2010;B3A19;May;2010 main suction Jun 1 A;croceus;Mocydia;NA;;Cicadellidae;Hemiptera;Insecta;4.925;herbivore;2010_B3A19_May;A;2010_B3A19_MayA
Opiinae;0.843112406;1;2010;B3A19;May;2010 main suction Jun 1 A;;;NA;Opiinae;Braconidae;Hymenoptera;Insecta;2.875;predator;2010_B3A19_May;A;2010_B3A19_MayA
Macrosteles laevis;2.842688769;1;2010;B3A19;May;2010 main suction Jun 1 B;laevis;Macrosteles;NA;;Cicadellidae;Hemiptera;Insecta;3.7;herbivore;2010_B3A19_May;A;2010_B3A19_MayA
Neottiura bimaculata;1.97084488;1;2010;B3A19;May;2010 main suction Jun 1 B;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B3A19_May;A;2010_B3A19_MayA
Tychius pusillus;0.522865727;1;2010;B4A02;May;2010 main suction Jun 1 B;pusillus;Tychius;NA;;Curculionidae;Coleoptera;Insecta;1.83;herbivore;2010_B4A02_May;A;2010_B4A02_MayA
Macrosteles laevis;5.685377537;2;2010;B4A02;May;2010 main suction Jun 1 A;laevis;Macrosteles;NA;;Cicadellidae;Hemiptera;Insecta;3.7;herbivore;2010_B4A02_May;A;2010_B4A02_MayA
Neottiura bimaculata;1.97084488;1;2010;B4A02;May;2010 main suction Jun 1 A;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B4A02_May;A;2010_B4A02_MayA
Apis mellifera;67.47840394;1;2010;B4A02;May;2010 main suction Jun 1 A;mellifera;Apis;NA;;Apidae;Hymenoptera;Insecta;12;herbivore;2010_B4A02_May;A;2010_B4A02_MayA
Eulophidae;0.096776809;1;2010;B4A02;May;2010 main suction Jun 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A02_May;A;2010_B4A02_MayA
Phyllobius roboretanus;4.962316917;1;2010;B4A02;May;2010 main suction Jun 1 B;roboretanus;Phyllobius;NA;;Curculionidae;Coleoptera;Insecta;4.5;herbivore;2010_B4A02_May;B;2010_B4A02_MayB
Apis mellifera;67.47840394;1;2010;B4A02;May;2010 main suction Jun 1 B;mellifera;Apis;NA;;Apidae;Hymenoptera;Insecta;12;herbivore;2010_B4A02_May;B;2010_B4A02_MayB
Eulophidae;0.193553618;2;2010;B4A02;May;2010 main suction Jun 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A02_May;B;2010_B4A02_MayB
Catapion seniculus;0.537274827;1;2010;B4A02;May;2010 main suction Jun 1 B;seniculus;Catapion;NA;;Apionidae;Coleoptera;Insecta;1.85;herbivore;2010_B4A02_May;B;2010_B4A02_MayB
Macrosteles laevis;2.842688769;1;2010;B4A02;May;2010 main suction Jun 1 B;laevis;Macrosteles;NA;;Cicadellidae;Hemiptera;Insecta;3.7;herbivore;2010_B4A02_May;B;2010_B4A02_MayB
Protapion nigritarse;0.467560872;1;2010;B4A02;May;2010 main suction Jun 1 B;nigritarse;Protapion;NA;;Apionidae;Coleoptera;Insecta;1.75;herbivore;2010_B4A02_May;B;2010_B4A02_MayB
Pteromalidae;49.65985558;3;2010;B4A07;May;2010 main suction Jun 1 A;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B4A07_May;A;2010_B4A07_MayA
Brassicogethes aeneus;6.63915741;9;2010;B4A07;May;2010 main suction Jun 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Ichneumoninae;25.85526069;1;2010;B4A07;May;2010 main suction Jun 1 A;;;NA;Ichneumoninae;Ichneumonidae;Hymenoptera;Insecta;12.5;predator;2010_B4A07_May;A;2010_B4A07_MayA
Protapion trifolii;0.574331658;1;2010;B4A07;May;2010 main suction Jun 1 B;trifolii;Protapion;NA;;Apionidae;Coleoptera;Insecta;1.9;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Longitarsus parvulus;0.267587743;1;2010;B4A07;May;2010 main suction Jun 1 A;parvulus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.4;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Helconinae;15.64926308;1;2010;B4A07;May;2010 main suction Jun 1 A;;;NA;Helconinae;Braconidae;Hymenoptera;Insecta;8.25;predator;2010_B4A07_May;A;2010_B4A07_MayA
Apis mellifera;134.9568079;2;2010;B4A07;May;2010 main suction Jun 1 A;mellifera;Apis;NA;;Apidae;Hymenoptera;Insecta;12;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Longitarsus lycopi;0.55933086;1;2010;B4A07;May;2010 main suction Jun 1 B;lycopi;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.88;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Scelionidae;1.416894724;1;2010;B4A07;May;2010 main suction Jun 1 B;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B4A07_May;A;2010_B4A07_MayA
Protapion fulvipes;0.652944126;1;2010;B4A07;May;2010 main suction Jun 1 A;fulvipes;Protapion;NA;;Apionidae;Coleoptera;Insecta;2;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Alysiinae;0.905475714;1;2010;B4A07;May;2010 main suction Jun 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A07_May;A;2010_B4A07_MayA
Mymaridae;0.006147203;1;2010;B4A07;May;2010 main suction Jun 1 A;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2010_B4A07_May;A;2010_B4A07_MayA
Euscelis incisus;3.109309509;1;2010;B4A07;May;2010 main suction Jun 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Protapion nigritarse;0.467560872;1;2010;B4A07;May;2010 main suction Jun 1 A;nigritarse;Protapion;NA;;Apionidae;Coleoptera;Insecta;1.75;herbivore;2010_B4A07_May;A;2010_B4A07_MayA
Eulophidae;0.096776809;1;2010;B4A07;May;2010 main suction Jun 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A07_May;B;2010_B4A07_MayB
Neottiura bimaculata;1.97084488;1;2010;B4A07;May;2010 main suction Jun 1 B;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B4A07_May;B;2010_B4A07_MayB
Pteromalidae;132.4262815;8;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B4A08_May;A;2010_B4A08_MayA
Euscelis incisus;6.218619018;2;2010;B4A08;May;2010 main suction Jun 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A08_May;A;2010_B4A08_MayA
Javesella pellucida;2.982111359;1;2010;B4A08;May;2010 main suction Jun 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A08_May;A;2010_B4A08_MayA
Perilampidae;0.890398227;1;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;;Perilampidae;Hymenoptera;Insecta;3.2;predator;2010_B4A08_May;A;2010_B4A08_MayA
Alysiinae;1.810951428;2;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A08_May;A;2010_B4A08_MayA
Diapriidae;3.060867093;2;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B4A08_May;A;2010_B4A08_MayA
Platygastridae;1.952374983;4;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;;Platygastridae;Hymenoptera;Insecta;2.45;predator;2010_B4A08_May;A;2010_B4A08_MayA
Anaceratagallia ribauti;1.757967145;1;2010;B4A08;May;2010 main suction Jun 1 A;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2010_B4A08_May;A;2010_B4A08_MayA
Neottiura bimaculata;1.97084488;1;2010;B4A08;May;2010 main suction Jun 1 B;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B4A08_May;A;2010_B4A08_MayA
Opiinae;1.686224811;2;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;Opiinae;Braconidae;Hymenoptera;Insecta;2.875;predator;2010_B4A08_May;A;2010_B4A08_MayA
Scelionidae;1.416894724;1;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B4A08_May;A;2010_B4A08_MayA
Mymaridae;0.006147203;1;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2010_B4A08_May;A;2010_B4A08_MayA
Brassicogethes aeneus;0.737684157;1;2010;B4A08;May;2010 main suction Jun 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B4A08_May;A;2010_B4A08_MayA
Eupteryx notata;1.045868373;1;2010;B4A08;May;2010 main suction Jun 1 A;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B4A08_May;A;2010_B4A08_MayA
Microleptinae;1.98580804;1;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;Microleptinae;Ichneumonidae;Hymenoptera;Insecta;4.25;predator;2010_B4A08_May;A;2010_B4A08_MayA
Eulophidae;0.096776809;1;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A08_May;B;2010_B4A08_MayB
Microleptinae;1.98580804;1;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;Microleptinae;Ichneumonidae;Hymenoptera;Insecta;4.25;predator;2010_B4A08_May;B;2010_B4A08_MayB
Pimplinae;50.04887309;1;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;Pimplinae;Ichneumonidae;Hymenoptera;Insecta;16.5;predator;2010_B4A08_May;B;2010_B4A08_MayB
Diapriidae;1.530433547;1;2010;B4A08;May;2010 main suction Jun 1 A;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B4A08_May;B;2010_B4A08_MayB
Platygastridae;0.488093746;1;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;;Platygastridae;Hymenoptera;Insecta;2.45;predator;2010_B4A08_May;B;2010_B4A08_MayB
Bruchus luteicornis;0.782399543;1;2010;B4A08;May;2010 main suction Jun 1 A;luteicornis;Bruchus;NA;;Chrysomelidae;Coleoptera;Insecta;2.15;herbivore;2010_B4A08_May;B;2010_B4A08_MayB
Pteromalidae;16.55328519;1;2010;B4A08;May;2010 main suction Jun 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B4A08_May;B;2010_B4A08_MayB
Megadelphax sordidula;3.579022963;1;2010;B4A08;May;2010 main suction Jun 1 A;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2010_B4A08_May;B;2010_B4A08_MayB
Alysiinae;0.905475714;1;2010;B3A04;May;2010 main suction Jun 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B3A04_May;A;2010_B3A04_MayA
Euscelis incisus;3.109309509;1;2010;B3A04;May;2010 main suction Jun 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B3A04_May;B;2010_B3A04_MayB
Diapriidae;1.530433547;1;2010;B3A04;May;2010 main suction Jun 1 B;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B3A04_May;B;2010_B3A04_MayB
Neophilaenus campestris;6.650564598;1;2010;B3A04;May;2010 main suction Jun 1 B;campestris;Neophilaenus;NA;;Aphrophoridae;Hemiptera;Insecta;5.283333333;herbivore;2010_B3A04_May;B;2010_B3A04_MayB
Tetragnatha extensa;58.05381055;1;2010;B3A04;May;2010 main suction Jun 1 B;extensa;Tetragnatha;NA;;Tetragnathidae;Araneae;Arachnida;8.78;predator;2010_B3A04_May;B;2010_B3A04_MayB
Neottiura bimaculata;3.941689759;2;2010;B3A04;May;2010 main suction Jun 1 B;bimaculata;Neottiura;NA;;Theridiidae;Araneae;Arachnida;2.5;predator;2010_B3A04_May;B;2010_B3A04_MayB
Eulophidae;0.096776809;1;2010;B3A04;May;2010 main suction Jun 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B3A04_May;B;2010_B3A04_MayB
Errastunus ocellaris;4.096207092;2;2010;B3A04;May;2010 main suction Jun 1 A;ocellaris;Errastunus;NA;;Cicadellidae;Hemiptera;Insecta;3.225;herbivore;2010_B3A04_May;B;2010_B3A04_MayB
Opiinae;0.843112406;1;2010;B3A04;May;2010 main suction Jun 1 A;;;NA;Opiinae;Braconidae;Hymenoptera;Insecta;2.875;predator;2010_B3A04_May;B;2010_B3A04_MayB
Genistogethes carinulatus;0.50169126;1;2010;B3A20;May;2010 main suction Jun 1 B;carinulatus;Genistogethes;NA;;Nitidulidae;Coleoptera;Insecta;1.8;herbivore;2010_B3A20_May;A;2010_B3A20_MayA
Cortinicara gibbosa;0.244323227;1;2010;B3A20;May;2010 main suction Jun 1 B;gibbosa;Cortinicara;NA;;Latridiidae;Coleoptera;Insecta;1.35;detritivore;2010_B3A20_May;A;2010_B3A20_MayA
Microgasterinae;0.572389639;1;2010;B3A20;May;2010 main suction Jun 1 B;;;NA;Microgasterinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B3A20_May;A;2010_B3A20_MayA
Apis mellifera;67.47840394;1;2010;B3A20;May;2010 main suction Jun 1 A;mellifera;Apis;NA;;Apidae;Hymenoptera;Insecta;12;herbivore;2010_B3A20_May;A;2010_B3A20_MayA
Eupteryx atropunctata;3.029449111;1;2010;B3A20;May;2010 main suction Jun 1 B;atropunctata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;3.8;herbivore;2010_B3A20_May;A;2010_B3A20_MayA
Propylaea quatuordecimpunctata;4.126310269;1;2010;B3A20;May;2010 main suction Jun 1 A;quatuordecimpunctata;Propylaea;NA;;Coccinellidae;Coleoptera;Insecta;4.18;predator;2010_B3A20_May;A;2010_B3A20_MayA
